pincode,lat,long,label,link,rig
411030,18.509035,73.850468,"Quality Medicals, Opp. Pune Vidyarthi Gruh, Sadashiv Peth, Pune 411030; Cell: 989009811; RV available, RIG available on order",https://maps.app.goo.gl/es8RQqRGXC1YkbyL8,1
411004,18.501821,73.832816,"Deenanath Mangeshkar Hospital & Research Center, Erandwane, Pune 411004; Phone: (020)40151040; RV  & RIG available",https://maps.app.goo.gl/wGi6vfYuySy7qPm37,1
411030,18.51199,73.848727,"Zenith Enzymatic Drugs Pvt Ltd., 1009 Karandikar Path, Sadashiv Peth, Pune 411030; Phone: (020) 8045475780; RV available",https://maps.app.goo.gl/vop38yYhtCVXt7uB6,0
411051,18.470606,73.824079,"Amrut Medical and General Stores, Shop No. 94, Amrut Ganga, Sinhagad Road, Vadgaon Budruk, Pune 411051; Phone: 91-8308824853; RV available, RIG not available",https://maps.app.goo.gl/kdzUvR98Ku2sy4NJ8,0
110063,28.673307,77.088457,"Algen Exports, 302, 3rd Floor, Plot No. 7, LSC, Gupta Plaza, Paschim Vihar, New Delhi 110 063; Cell: 91-8046048753; RIG available, RV available",https://maps.app.goo.gl/k5PtUFJJh4Uc2r576,1
400013,19.006777,72.834584,"Modern Drug House, 3b, 1st Floor, Prime Plaza, JV Patel Compound, Balashet Madhurkar Marg, Elphinstone Rd, Parel, Mumbai 400013; Cell: 91-8046065918; RV available",https://maps.app.goo.gl/7PB2S5dK6PNEwgPr5,0
122018,28.411828,77.048718,"Life-Aid, Shop No. 21, The Sapphire Market, Sector 49, Gurgaon 122018, Haryana; Cell:91-9818235785; RV available; RIG na",https://maps.app.goo.gl/67sEqu7cYSw9JugG9,0
411040,18.493829,73.835455,"Apoorv Medico, 406, Navshya Maruti Mandir Lane, SaritaVihar Phase 2, Dattawadi, Pune 411030; Cell: +917038973658; RV available, RIG na",https://maps.app.goo.gl/kkTmhWnx88XRf64RA,0
122102,28.45493,77.00744,"Shree Shyam Pharmacy, Gurugram, Harayana; Cell: +91-9205330731; RV available (AbhayRab); RIG available on prescription.",https://maps.app.goo.gl/BKijUEqD8cAqtFwT6,1
122018,28.417413,77.051162,"Sri Ram Medico, Shop No. 24, D Block Market,South City II, Gurugram, Haryana, 122018; Call: 8800179850; RV available (ChiroRab), RIG not available",https://maps.app.goo.gl/WqoDoSqNSiB9EMDy7,0
110048,28.53416,77.24406,"Talwar Hospital, M-139, CR Park Road, Greater Kailash II, New Delhi 110048; Call 91-1143794200, 91-29216441/42; RV and RIG available",https://maps.app.goo.gl/DVSZszRFUeAo2HAp9,1
176219,32.24392,76.33401,"Chandel Medicos, Bhagsunag, Dharmashala 176219; Call 91-9805436036; RV available",https://maps.app.goo.gl/rUjVKGaG7vRuAo92A,0
415621,17.77598,73.43277,"Sub District Hospital, Kalambani, Tehsil Khed, District Ratnagiri, Maharashtra 415621; Call 91-02356-264510, pokalambani@gmail.com; RV available, RIG available",https://maps.app.goo.gl/ibaC2h3dnQuDdGoWA,1
580001,15.460092,75.011462,"Hegde Medical Stores, Akkipeth Sharadha Bldg., Dharwad, Karnataka 580001; Call 7847914004; RV available, RIG available",https://maps.app.goo.gl/W2hzjCyUkHoeCtpm8,1
580001,15.450376,74.991697,"Apollo Pharmacy, No. 53/C/2A, Nayak Compound, Saptapur Main Rd, Dharwad, Karnataka 580001; Call 08362774744; RV available, RIG available.",https://maps.app.goo.gl/PUbenJKwWJ51fJkD8,1
580008,15.471818,74.991981,"Jeevan Medicals And General Stores, FXCR+PRF, Kumareshwar Nagar, Mukambika Nagar, Dharwad, Karnataka 580008; Call 997950225; RV available, RIG available ",https://maps.app.goo.gl/YjrNWwsVi6kpnL8p9,1
580001,15.46004,75.011253,"M. Porwal Medicals, Subhash Rd., Opposite Bus Stand, Hosayellapur, Dharwad, Karnataka 580001; Call 9844444424; RV available, RIG not available",https://maps.app.goo.gl/oZy6B1kEyU261FK27,0
580001,15.460138,75.011459,"HD Medical Stores, F266+2JR, Akkipeth Rd., Dharwad, Karnataka 580001; Call 8362221267; RV available, RIG not available",https://maps.app.goo.gl/4muxz46GNMs1kGJk8,0
415612,16.99256,73.29491,"National Medicals, Shop No. 3, Mahila Vidyalaya Shopping Center, Opposite ST Stand, Ratnagiri HO, Ratnagiri, Maharashtra 415612; RV available",https://maps.app.goo.gl/YPCd3JYmcxULScRW9,0
