pincode,lat,long,label,link
200131,7.384004,3.848348,"Marantha Pharmacy Ltd., IAR&T Campus, Moor Plantation, Apata 200131, Ibadan, Oyo, Nigeria; Call 08033189558; +234 803 318 9558; RV available",
111102,7.140157,3.335509,"Precious Pharmacy, 114 Awolowo Avenue, Omida Road, Ibara, Abeokuta, Nigeria; Call +234 8173184095; RV available",
200262,7.382896,3.829004,"Fortis Pharmacy and Stores, 92 Apata Road, Opp. Wema Bank, Ibadan 200262; Call 09082757578; RV available",
100261,6.565984,3.339275,"Matrix-36, Skyrace Plaza, 1, Ileshomi Street, Shogunle, Lagos, 100261, Nigeria; Call +2348094707460; Email pharmacy@matrix36.com; RV available, RIG available",
211221,7.844351,3.934502,"Living Faith Pharmacy, Ilaka Area, Akesan Market Road, Oyo 211221, Nigeria; Call +2348035022778; RV available",
102214,6.524414,3.328214,"Stairway Pharmacy, 45 Ugali Street, Ire-Akari Estate Road, Oshodi-Isolo, Lagos 102214, Nigeria; Call +2348068215920; RV available",
101233,6.627032,3.354139,"Chilphar Pharmacy & Stores, No. 11, Lateef Jakande Road, Agidingbi, Ikeja, Lagos 101233, Nigeria; Call +2349091989664; RV available",
200129,7.539233,3.427274,"Jare Pharmacy and Stores, No. 1, Hospital Road, Ibarapa, Eruwa 200129, Nigeria; Call +2348024310939; Email jarepharmacy02@gmail.com; RV available",
904102,8.729578,6.898806,"Adofam Pharmacy and Store Ltd., Town Road, Kwali Area Council, Opposite ECWA 1, Nigeria; Call +2348160426456; Email pharmadonu@gmail.com; RV available",
200273,7.350382,3.876987,"Vanguard Pharmacy, 8 MKO Abiola Way, Oluyole, Ibadan 200273, Oyo, Nigeria; Call +2348054068710; Email info@vanguardpharmacy.com.ng; RV available",
200285,7.402862,3.925054,"Hamygdalin Pharmacy, Shop 2, Oodua Shopping Complex, Ide Ape road, Ibadan, Oyo State, Nigeria; Call +2349038679929; RV available",
211172,7.834639,3.924175,"Joba Pharmacy, Abiodun Atiba Road, Owode, Oyo, Nigeria; Call +2347068483047; RV available",
200132,7.417181,3.965944,"Vanguard Pharmaceutical Store, Km 10, Along Manatan-Iwo Road, Ibadan, Oyo; Call +2348054068710, Email support@vanguardpharmacy.com.ng; RV available",
211271,7.849048,3.927578,"Vanguard Pharmacy, UGF 7, 8 and 9, Ventura Mall, Samonda-Sango Road, Sango, Ibadan; Call +2348054068710; RV available",
