pincode,lat,long,label,link,rig
200131,7.384004,3.848348,"Marantha Pharmacy Ltd., IAR&T Campus, Moor Plantation, Apata 200131, Ibadan, Oyo, Nigeria; Call 08033189558; +234 803 318 9558; RV available",https://maps.app.goo.gl/puSoxBiCh5g1i1eT7,0
111102,7.140157,3.335509,"Precious Pharmacy, 114 Awolowo Avenue, Omida Road, Ibara, Abeokuta, Nigeria; Call +234 8173184095; RV available",https://maps.app.goo.gl/uT3Sgh5WHrmt2D1w5,0
200262,7.382896,3.829004,"Fortis Pharmacy and Stores, 92 Apata Road, Opp. Wema Bank, Ibadan 200262; Call 09082757578; RV available",https://maps.app.goo.gl/AW51D6i1ifbJqTak6,0
100261,6.565984,3.339275,"Matrix-36, Skyrace Plaza, 1, Ileshomi Street, Shogunle, Lagos, 100261, Nigeria; Call +2348094707460; Email pharmacy@matrix36.com; RV available, RIG available",https://maps.app.goo.gl/3GbMUDfd3uiVwR927,1
211221,7.844351,3.934502,"Living Faith Pharmacy, Ilaka Area, Akesan Market Road, Oyo 211221, Nigeria; Call +2348035022778; RV available",https://maps.app.goo.gl/fK1GbZECeTXDwcyy6,0
102214,6.524414,3.328214,"Stairway Pharmacy, 45 Ugali Street, Ire-Akari Estate Road, Oshodi-Isolo, Lagos 102214, Nigeria; Call +2348068215920; RV available",https://maps.app.goo.gl/TDYntpcbsizgHniM9,0
101233,6.627032,3.354139,"Chilphar Pharmacy & Stores, No. 11, Lateef Jakande Road, Agidingbi, Ikeja, Lagos 101233, Nigeria; Call +2349091989664; RV available",https://maps.app.goo.gl/R3nowD5qWb7S55Vx5,0
200129,7.539233,3.427274,"Jare Pharmacy and Stores, No. 1, Hospital Road, Ibarapa, Eruwa 200129, Nigeria; Call +2348024310939; Email jarepharmacy02@gmail.com; RV available",https://maps.app.goo.gl/eQkA3hiMFejyJnRD8,0
904102,8.729578,6.898806,"Adofam Pharmacy and Store Ltd., Town Road, Kwali Area Council, Opposite ECWA 1, Nigeria; Call +2348160426456; Email pharmadonu@gmail.com; RV available",https://maps.app.goo.gl/F9TCGtDgFTfMdThW9,0
200273,7.350382,3.876987,"Vanguard Pharmacy, 8 MKO Abiola Way, Oluyole, Ibadan 200273, Oyo, Nigeria; Call +2348054068710; Email info@vanguardpharmacy.com.ng; RV available",https://maps.app.goo.gl/CgCdbiA1kaaMR1169,0
200285,7.402862,3.925054,"Hamygdalin Pharmacy, Shop 2, Oodua Shopping Complex, Ide Ape road, Ibadan, Oyo State, Nigeria; Call +2349038679929; RV available",https://maps.app.goo.gl/DJP7WWFjiJKUouzSA,0
211172,7.834639,3.924175,"Joba Pharmacy, Abiodun Atiba Road, Owode, Oyo, Nigeria; Call +2347068483047; RV available",https://maps.app.goo.gl/pPj3WcKWu45cRvL86,0
200132,7.417181,3.965944,"Vanguard Pharmaceutical Store, Km 10, Along Manatan-Iwo Road, Ibadan, Oyo; Call +2348054068710, Email support@vanguardpharmacy.com.ng; RV available",https://maps.app.goo.gl/U7cc1FfRYdR1f69i7,0
211271,7.43221,3.90246,"Vanguard Pharmacy, Ventura Mall, along Samonda, Sango-Ojoo Road, Ibadan, Nigeria; Call +2348054068710; RV available",https://maps.app.goo.gl/YjAUb6PcfezvYpqy5,0
200116,7.429863,3.837611,"Vanguard Pharmacy, Abayomi Shopping Complex, New Eleyele Road, Ologuneru, Ibadan, Oyo State; Call 08054068710; RV available",https://maps.app.goo.gl/Q1JmBfzWeoo6XvABA,0
230284,7.784443,4.534493,"Vanguard Pharmacy, Opposite Technical College, Beside Omobolanle Filling Station, Iwo-Ibadan Road, Osogbo, Osun State; Call 08054068710; RV available",https://maps.app.goo.gl/Vs9ezQezidLHzMKJ8,0
110252,7.135123,3.337325,"Vanguard Pharmacy, Beside ZenithBank, 38 Lalubu Street, Oke Ilewo Ibara, Abeokuta, Ogun State; Call 08054068710; RV available",https://maps.app.goo.gl/sE9Ax38iPBeKnDah7,0
340110,7.295598,5.149356,"University Health Center, South Gate, FUTA, Oduduwa Road, Ita Oniyan; Email healthcenter@futa.edu; RV available",https://maps.app.goo.gl/RyPoRe3jo1yXW1jt7,0
200132,7.442518,3.900937,"Jaja Clinic, 1 Jaja Avenue, University of Ibadan, Oyo 200132 ; Call +2348033272111, Email dir_uhs@mail1.ui.edu.ng; RV available",https://maps.app.goo.gl/PV9AsadmoXwcCuVe9,0
111101,7.176094,3.385143,"Vanguard Pharmacy, KM2, Next to Muda Lawal Stadium, Asero, Abeokuta, Ogun State; Call +2348054068710; RV available",https://maps.app.goo.gl/dTw5HY68vhZsdwBU6,0
200273,7.346283,3.847531,"Emcare Pharmacy and Store, Alao Akala Expressway, Oluyole, Ibadan, Oyo State; Call +2348120617353; RV available",https://maps.app.goo.gl/8EsuooFC4rUiiCxSA,0
200285,7.402707,3.903765,"University College Hospital, Queen Elizabeth II road, Agodi, Ibadan, Oyo; Call +2348086739187; RV available",https://maps.app.goo.gl/i9FGEooEQbd8gpLt7,0
212102,8.151256,4.251461,"Akol Pharmacy, Olukoko Street, Sabo, Ogbomosho, Oyo; Call +2347065866723; RV available",https://maps.app.goo.gl/SwosYkD5r1buLQD29,0
341105,7.213733,5.599423,"Owo federal Medical Center, Owo, Ondo; Call +234835094545; RV available",https://maps.app.goo.gl/UsvmBNHwEC2ubwZH7,0
111102,7.137326,3.338847,"Precious Pharmacy, No 47, Olusegun Osoba Way, Oke-Ilewo Road, Abeokuta, Ogun State; Call + 2347044835544; Email info@preciouspharmacy.com; RV available",https://maps.app.goo.gl/mQSY9xsLPmAPS3xZA,0
111102,7.143735,3.371589,"Precious Pharmacy, 65 Olabisi Onabanjo Way, Iyana Mortuary Junction, Ijaye, Abeokuta, Ogun; Call +2347044835544; RV available",https://maps.app.goo.gl/FZiYgUZnJQE7mKw96,0
111101,7.166161,3.372554,"Precious Pharmacy, Abiola Way, Asero, Abeokuta, Ogun State; Call +2347044835544; RV available",https://maps.app.goo.gl/PE7dbTPFJ3zsCoBc8,0
111101,7.156696,3.338359,"Precious Pharmacy, 100 Lafenwa Rd, Ikoku, Abeokuta, Ogun State; call + 2348037161585; RV available",https://maps.app.goo.gl/C3c9h45RrWGg2mup7,0
240222,8.478365,4.562425,"Aromokeye Pharmacy, Opposite A Division , Olohun Losheyi Shopping Complex, Muritala Muhammed Way, Ilorin, Kwara; Call: +2348038082055; RV available ",https://maps.app.goo.gl/qDNZMzGZr5PQx7Sa8,0
240101,8.496415,4.556154,"Aromokeye Pharmacy, 88 Balogun Fulani Road, Oko Erin, Kwara; Call: +2348038195896; RV available",https://maps.app.goo.gl/UWVxUadiwWbWCmgN9,0
961101,8.847279,7.883735,"Ben Jonalson Pharmacy, Maizobo Street, Keffi, Nasarawa State; Call: 09069106531; 08176489887; RV available",https://maps.app.goo.gl/ppzsqAesfTrKzwLp9,0
961105,9.006377,7.661328,"La Med Pharmacy, Nyanya Gwandara Primary School, Along Karu Keffi Road, Nyanyan, New Karu; RV available",https://maps.app.goo.gl/MTvxonLhXEUkk32t6,0
840283,13.054079,5.246989,"Zumunchi Pharmacy Ltd, 45 Sultan Abubakar Rd, Marina, Sokoto, Sokoto State; RV available",https://maps.app.goo.gl/5wcKoum7jtDJyxxGA,0
212102,8.135435,4.232886,"Pharmacy Unit, Bowen University Teaching Hospital, Osupa 4, Ogbomosho North, Oyo State; Call: +2347066568480; RV available",https://maps.app.goo.gl/BVVYubGPBuNw7RdLA,0
961101,8.846825,7.882215,"Minaco Pharmacy and Co Ltd, M.C.Yamusa II Rd, Opp. Access Bank, Keffi, Nasarawa State; Call: +2348065996225; RV available",https://maps.app.goo.gl/ri3Juq8kPDEJQT2N8,0
961101,8.847567,7.883031,"Celex-Collins Pharmacy, Keffi, Nasarawa; Call: +2348036747345, +2347069611864; RV available",https://maps.app.goo.gl/QncZn7ZmZjtc8p1N8,0
840103,13.033593,5.226902,"Muzdalifa Pharmacy, Kalambaina Rd, Mabera Mujaya, Sokoto, Sokoto State; Call: +2348064469226; RV available",https://maps.app.goo.gl/QoRitwVrkAbrhHuaA,0
840283,13.033515,5.241797,"Raudah Pharmacy, No 4-5, Sultan Abubakar Rd, Opp City Campus, Mabera, Sokoto; Call: +2348125150448; RV available",https://maps.app.goo.gl/zL98fgQEfjeLjgeZ7,0
840103,13.032367,5.224006,"Medicine Plus Pharmacy, Mabera, Sokoto; Call: +2348168553161; RV available",https://maps.app.goo.gl/x5CCVtJLZQ1ax3pg6,0
105102,6.635099,3.374934,"Westgate Lifecare Pharmacy, 1 The Apostolic Church Close, Olowaora Isheri, Lagos; Call: +2349060006650; http://www.westgatelifecare.com.ng; RV available",https://maps.app.goo.gl/qbbJQxsArYziVtme6,0
440236,5.522424,7.493765,"Federal Medical Center, Aba road, Opp Guaranty Trust Bank, Umu Obasi, Umuahia, Abia; Call: +2348038089468; RV available",https://maps.app.goo.gl/xsVZJY5r8CVXBjvQ8,0
950101,8.496206,8.516387,"Horse Power Pharmacy, No.1 UAC Road, Lafia, Nasarawa; Call: +2348036461970; RV available",https://maps.app.goo.gl/5dKy9BVAY9aheUDJA,0
950101,8.498528,8.517163,"Lamb of God Pharmaceutical Chemist Ltd, Total Junction, Along Shendam Road, Beside CBN, Lafia, Nasarawa; RV available ",https://maps.app.goo.gl/4CdTo5tAypmjRKRS6,0
950101,8.496681,8.514393,"IYKE Dynamic Pharmacy, No. 23, UAC Road, Lafia, Nasarawa; Call: +2348067404372; RV available",https://maps.app.goo.gl/topAzoESzaqHif5s8,0
904101,9.083526,7.468826,"SuperPharma, 741 Aminu Kano Crescent, Wuse, Abuja, FCT; Call: +2349055550050; RV available",https://maps.app.goo.gl/V1mEAxRottCgYGjw5,0
360102,7.663074,5.235729,"Aromokeye Pharmacy, Olohunloseyi Shopping Plaza, Km3 Adehun Area, Ado-Iworoko-Ifaki Road, Ado Ikiti; https://maps.app.goo.gl/XfuGX5ND2JG574C86; Call:  +234803 042 1279; RV available",https://maps.app.goo.gl/Y5ZN1Bn8P4ahxRq67,0
360101,7.599016,5.222662,"Tolu Pakad Pharmacy, 86 Adebayo Street, Ado Ekiti, Ekiti; Call: +2348034174043;RV available",https://maps.app.goo.gl/fimPcoK2J6noo9Fe9,0
360102,7.639566,5.220513,"Tolu Pakkad Pharmacy and Stores, No. 60, University Teaching Hospital Road, Ado Ekiti; Call: +2348035774907; RV available",https://maps.app.goo.gl/iuY5WE3uysL2pg8e6,0
600211,11.825686,13.17809,"Rata Pharmacy, Opp. Maiduguri University Teaching Hospital, Maiduguri, Borno State; RV available",https://maps.app.goo.gl/SK4ArxNzqB5x9MxE8,0
600104,11.819984,13.17822,"Elim Pharmacy, 1 Lagos Street, Gwange, Maiduguri, Borno State; RV available",https://maps.app.goo.gl/jPzwEpGHoJgKiMcR9,0
970101,7.72737,8.56857,"Benue State University Teaching Hospital, 3 Makurdi Gboko Rd, Walmayo, Makurdi, Benue; RV and RIG available",https://maps.app.goo.gl/g8QUg4x1uzu2ig3u5,1
453106,5.12536,7.39288,"Uwal Pharmacy Plus,  43b, New Umuahia Road, by Obikabia junction, Ogbor Hill, Aba, Abia State; Call: 08033615919; RV available ",https://maps.app.goo.gl/Zw9i7sZc63VHm98Z7,0
440236,5.54729,7.49715,"Emerson Blessed Pharmacy, 33 Lagos st., Umuahia, Abia State; Call: 08037127955; RV available",https://maps.app.goo.gl/tf2pcibQqAhzuSqU6,0
453111,5.13021,7.33611,"WORLD BANK HOUSING ESTATE, 104 Upstair line, Abayi, Aba 453111, Abia, Nigeria; Call: 08140256343; RV available",https://maps.app.goo.gl/vKNGBUuJ7dXWXVTt7,0
432108,6.22192,6.80459,"Adino Pharmacy Limited, 18 College Road, Opp. 2nd gate, Nwafor Orizor College of Education, Nsugbe, Anambra State; Call: 08036193742; RV available",https://maps.app.goo.gl/xqbxAe5hskofNeyf8,0
420110,6.22122,7.06464,"Alpha Pharmacy, Nourisha Fast Food, No 1 Golphins Close, UNIZIK Temp Site, By, Awka; Call: 0802 825 1780, 0906 244 0941   Email: alphapharmaawka@gmail.com; RV available",https://maps.app.goo.gl/eESP9CwWNLf2ztud6,0
101233,6.60902,3.34238,"Alpha Pharmacy & Stores, 33 Adeniyi Jones, Oba Akran, Ikeja 101233, Lagos; Call: 01-2704374   Tel.: 0906 000 6241, 0906 244 0935; RV available",https://maps.app.goo.gl/feNVimtHKgQnboaS6,0
434106,6.15675,6.79481,"Alpha Pharmacy & Stores, Onitsha Mall, former ABS Junction, 4 Park Road, Onitsha Mall, GRA, Onitsha; Call: 0906 244 0943, 0906 601 9566, 0803 088 6878; RV available",https://maps.app.goo.gl/yuRCPf4NmLRteRKd6,0
434106,6.15323,6.78167,"Alpha Pharmacy & Stores, Post Office, 56 Old Market Rd, GRA, Onitsha, Anambra; Call: 0906 244 0948; RV available",https://maps.app.goo.gl/GG8CrPMEjpitaGnP8,0
