pincode,lat,long,label,link,rig
75510,24.85237,67.04392,"Jinnah Postgraduate Medical Centre (JPMC),Rafiqui H.J. Shaheed Road, Karachi; Call: +922199201300",https://maps.app.goo.gl/nYKCx98FMNJeNA7g6,0
75190,24.81753,67.11132,"Indus Hospital, Korangi Crossing, Karachi; Call: +922135112710",https://maps.app.goo.gl/rHK6Lqaet8Rw9A8UA,0
74200,24.85914,67.01011,"Dr. Ruth K. M. Pfau Civil Hospital, Mission road, New Labour Colony, Nanakwara, Karachi; Call: +922199215740",https://maps.app.goo.gl/iB45i2GTi8Z9CKYUA,1
75270,24.94382,67.13915,"Dow University Ojha Campus, Suparco Road, Karachi; Call: +922199232660",https://maps.app.goo.gl/qNnzxVi2xN7A95h17,1
54000,31.571292,74.316365,"Mayo Hospital, Hospital Rd., Anarkali Bazaar, Lahore; Call: +924299211129",https://maps.app.goo.gl/bvq58PMovRkHaBAa9,1
54550,31.484477,74.296893,"Jinnah Hospital, Ahmed, Usmani Rd., Faisal Town, Lahore; Call: +924299231400",https://maps.app.goo.gl/oT31oT9KGvqsFghZ7,1
46000,33.702817,73.053519,"PIMS Hospital, Santores Mall, 8/3, Near G-8, Islamabad; Call: +92519261170",https://maps.app.goo.gl/pTp1yxU6xPEyxSBQA,1
23000,33.628397,73.070999,"Benazir Bhutto Hospital, Murree Rd., near Chandani Chowk, Chah Sultan, Rawalpindi; Call: +92519290100",https://maps.app.goo.gl/n191SyR4QBp8ih4P7,1
25000,33.997117,71.486571,"IBP Khyber Teaching Hospital, University Rd., Rahat Abad, Peshawar; Call: +92919224400",https://maps.app.goo.gl/pigtJf3bE5Mano5X7,1
25000,34.010789,71.568738,"Lady Reading Hospital, Soekarno Rd., Pipal Mandi, Peshawar; Call: +92919211430",https://maps.app.goo.gl/DY7DtpC23QGrFsU7A,1
